Movie,Year,Rating,Vulgarity,Violence,Profanity
The Mother,2023,R,3,7,5
The Girl Who Kicked the Hornet's Nest,2010,R,8,7,5
The Witch,2016,R,5,7,3
The Curse of La Llorona,2019,R,1,7,1
The Wretched,2019,NR,5,7,5
The Croods,2013,PG,1,3,1
Maps to the Stars    1,2015,R,0,7,9
The Conjuring,2013,R,2,7,4
The Visit,2015,PG13,4,6,5
Rise of the Planet of the Apes,2011,PG13,1,7,5
The To Do List,2013,R,9,3,8
The Invitation,2022,PG13,5,7,5
The War with Grandpa,2020,PG,2,4,4
The Possession,2012,PG13,3,7,3
Mia and the White Lion,2019,PG,1,4,4
The Fabelmans,2022,PG13,3,4,5
Lee Daniels' The Butler,2013,PG13,5,6,5
The Killing of a Sacred Deer,2017,R,8,6,5
The Giver,2014,PG13,2,4,1
The Light Between Oceans,2016,PG13,5,3,1
Plane,2023,R,1,7,7
Snakes on a Plane,2006,R,8,9,6
Soul Plane,2004,R,9,3,9
Planes,2013,PG,1,3,2
Planes: Fire and Rescue,2014,PG,1,3,1
Stealth,2005,PG13,4,5,5
Flyboys,2006,PG13,3,7,2
Midway,2019,PG13,2,5,5
United 93,2006,R,2,7,6
Flight of the Phoenix,2004,PG13,1,6,5
The Wind Rises,2014,PG13,2,4,2
NonStop,2014,PG13,1,5,5
Left Behind,2014,PG13,2,6,2
7500,2019,R,1,6,6
Amelia,2009,PG,4,3,3
American Made    0,2017,R,6,6,1
Uncharted,2022,PG13,2,6,5
Unbroken,2014,PG13,3,6,5
The Mountain Between Us,2017,PG13,5,5,5
The Peanuts Movie,2015,G,1,1,1
Reminiscence,2021,PG13,6,5,5
The Divergent Series: Allegiant  Part 1,2016,PG13,2,5,4
Inside Out,2015,PG,1,3,1
Eternal Sunshine of the Spotless Mind,2004,R,6,5,7
The Vow,2012,PG13,4,3,4
The Girl on the Train,2016,R,8,6,9
Unknown White Male,2006,PG13,2,1,5
Paycheck,2003,PG13,4,5,4
50 First Dates,2004,PG13,5,4,4
Black Box,2020,NR,1,6,5
Falling for Christmas,2022,TVPG,2,3,3
Finding Nemo,2003,G,0,3,0
Alone in the Dark,2005,R,6,9,5
The Family Tree    0,2011,R,7,6,1
The Lookout,2007,R,6,7,7
Side Effects,2013,R,7,6,6
Trance,2013,R,9,9,6
Youth,2015,R,7,2,6
Death of Me,2020,R,5,7,7
Ulysses,1954,NR,4,4,1
Transformers: Dark of the Moon,2011,PG13,5,7,5
The Lone Ranger,2013,PG13,3,7,3
The Wolverine,2013,PG13,4,7,5
Harry Potter and the Deathly Hallows: Part 2,2011,PG13,3,7,3
The Assassination of Jesse James by the Coward Robert Ford,2007,R,4,7,4
Sherlock Holmes: A Game of Shadows,2011,PG13,2,6,3
The Batman,2022,PG13,2,7,5
The Boys Are Back,2009,PG13,4,4,4
Kingsman: The Secret Service    0,2015,R,4,7,1
The Harder They Fall,2021,R,4,8,7
The Legend of Tarzan,2016,PG13,3,6,2
The Secret Life of Pets 2,2019,PG,1,3,2
The Legend of Zorro,2005,PG,3,6,1
The Free State of Jones,2016,R,1,7,3
The Incredibles,2004,PG,2,4,1
The Hunt    0,2020,R,1,8,1
Eddie the Eagle,2016,PG13,3,4,3
XXX: State of the Union,2005,PG13,4,7,5
Bullet Train    0,2022,R,5,8,1
Titanic,1997,PG13,6,6,5
What's The Worst That Could Happen?,2001,N/a,5,3,7
Borat Subsequent Moviefilm,2020,R,8,5,5
Downton Abbey,2019,PG,3,3,2
The Pirates! Band of Misfits,2012,PG,2,3,2
About Time,2013,R,6,4,5
The Conjuring 2: The Enfield Poltergeist,2016,R,1,6,2
The Conjuring: The Devil Made Me Do It,2021,R,1,7,3
The Nun,2018,R,1,7,2
Shazam! Fury of the Gods,2023,PG13,1,6,4
The Skeleton Key,2005,PG13,3,6,5
Annabelle,2014,R,2,7,2
Doctor Strange,2016,PG13,1,5,3
Annabelle Comes Home,2019,R,1,6,3
Apocalypse Now Redux    0,2001,R,7,9,1
Missing Link,2019,PG,1,3,2
Missing,2023,PG13,1,5,5
The Missing,2003,R,4,8,3
The Tall Man,2012,R,3,7,6
Shirley,2020,R,6,4,5
Breaking News in Yuba County,2021,R,6,7,7
Piranha 3D,2010,R,10,10,8
Wicker Man,2006,PG13,3,7,5
The Girl With the Dragon Tattoo,2011,R,9,9,6
It,2017,R,4,8,9
Hellboy,2019,R,4,10,7
The Snowman,2017,R,6,8,5
Searching,2018,PG13,2,5,5
Sinister,2012,R,3,8,4
Ghost in the Shell,2017,PG13,4,7,4
The Black Phone,2021,R,1,7,7
Dawn of the Dead,2004,R,6,10,8
The Forest,2016,PG13,1,6,3
The Amazing SpiderMan,2012,PG13,3,6,4
Grindhouse,2007,R,8,10,10
Wrong Turn,2003,R,3,10,5
The Campaign,2012,R,7,5,7
Leap Year,2009,PG,3,3,4
The Amazing SpiderMan,2012,PG13,3,6,4
The Sorcerer's Apprentice,2010,PG,2,5,2
Ford v Ferrari,2019,PG13,2,5,5
Lucy,2014,R,4,7,4
Armored,2009,PG13,1,6,5
Black Sea,2015,R,2,6,10
Fun with Dick and Jane,2005,PG13,3,3,5
The Hunger Games: Mockingjay  Part 2,2015,PG13,2,6,1
It's Complicated,2009,R,7,2,4
Infinity Pool,2023,R,9,7,5
The Odd Life Of Timothy Green,2012,PG,2,3,1
The Many Saints of Newark,2021,R,7,8,10
Captain Underpants: The First Epic Movie,2017,PG,2,3,2
Hotel Transylvania,2012,PG,2,4,2
The Jungle Book,2016,PG,1,4,1
Mia and the Migoo,2008,PG,1,3,3
The Lazarus Effect,2015,PG13,2,6,5
